eid,idx,ratl,R,how,cap4,must,status
E1,351,5.3,0.64,time,REJECTED,True,setup_ok
E5,901,1.72,0.9,be,kept,True,setup_ok
E13,78,2.87,-1.1,stop,kept,True,bad_entry_or_bad_pivot_selection
E17,391,8.36,0.91,time,REJECTED,True,setup_ok
E21,845,2.9,3.9,runner,kept,True,setup_ok
E27,159,3.07,2.34,time,kept,True,setup_ok
E30,55,0.85,3.9,runner,kept,True,setup_ok
E40,2053,1.83,3.32,time,kept,True,setup_ok
E23,919,4.83,-1.1,stop,REJECTED,False,top_exhaustion_should_not_long
