bucket,n,per_year,exp_decap,sumR_decap,pf,hit2R,hit3R,stop,scratch,drop2,maxDD,streak,wilson
V1_TAKE,63,9.9,0.959,60.4,3.1,49,11,41,10,0.793,-3.5,5,"[0.37,0.61]"
V1_REVIEW,41,6.5,0.414,17.0,1.71,29,7,51,20,0.127,-7.71,6,"[0.18,0.44]"
V1_SKIP,172,27.1,0.235,40.4,1.44,26,3,47,27,0.167,-19.45,15,"[0.20,0.33]"
OLD_TAKE,32,5.0,1.175,37.6,3.63,53,12,41,6,0.853,-4.4,4,"[0.36,0.69]"
V0_TAKE,50,7.9,0.917,45.8,3.14,46,10,38,16,0.705,-3.62,4,"[0.33,0.60]"
ALL_276,276,43.5,0.427,117.8,1.81,32,6,46,22,0.386,-18.69,12,"[0.27,0.38]"
