candidate_id,timestamp,source,label,GT_match,NAO_match,gt_id,at_D1_demand,inside_d1_demand,dist_above_d1_atr,d1_record_used_ts,supply_overhead,dist_to_supply,inside_custom_ob_demand,near_custom_ob_demand,dist_to_demand,inside_custom_ob_supply,macro_leg_id,macro_leg_phase,macro_leg_direction,feature_availability,context_notes
C1201,2020-10-09 02:00,fractal_3_3,UNKNOWN,no,no,,0,0,1.15,2020-10-08T20:58:59+00:00,1,3.03,0,0,27.31,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1204,2020-10-09 14:00,fractal_3_3,UNKNOWN,no,no,,0,0,1.71,2020-10-08T20:58:59+00:00,1,21.54,0,0,30.42,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1211,2020-10-12 18:00,fractal_3_3,UNKNOWN,no,no,,0,0,1.66,2020-10-09T20:54:59+00:00,1,24.15,0,0,27.81,1,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1213,2020-10-13 02:00,fractal_3_3,UNKNOWN,no,no,,0,0,1.44,2020-10-12T20:58:59+00:00,1,6.49,0,0,20.24,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1221,2020-10-14 10:00,fractal_3_3,UNKNOWN,no,no,,1,0,0.5,2020-10-13T20:58:59+00:00,1,9.15,0,0,17.58,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1222,2020-10-14 14:00,fractal_3_3,UNKNOWN,no,no,,1,0,0.16,2020-10-13T20:58:59+00:00,1,18.78,0,0,8.26,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1228,2020-10-15 14:00,fractal_3_3,UNKNOWN,no,no,,1,0,0.25,2020-10-14T20:58:59+00:00,1,16.2,0,0,10.84,1,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1229,2020-10-15 18:00,fractal_3_3,UNKNOWN,no,no,,1,0,0.36,2020-10-14T20:58:59+00:00,1,13.16,0,0,13.88,1,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1230,2020-10-15 22:00,fractal_3_3,UNKNOWN,no,no,,1,0,0.36,2020-10-15T20:58:59+00:00,1,13.62,0,0,13.42,1,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1231,2020-10-16 02:00,fractal_3_3,UNKNOWN,no,no,,1,0,0.28,2020-10-15T20:58:59+00:00,1,15.68,0,1,3.53,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1232,2020-10-16 06:00,fractal_3_3,UNKNOWN,no,no,,1,0,0.35,2020-10-15T20:58:59+00:00,1,14.0,0,0,5.21,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1237,2020-10-19 02:00,fractal_3_3,UNKNOWN,no,no,,1,0,0.37,2020-10-16T20:54:59+00:00,1,13.43,0,0,5.78,1,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1240,2020-10-19 14:00,fractal_3_3,UNKNOWN,no,no,,1,0,0.28,2020-10-16T20:54:59+00:00,1,15.73,0,1,2.68,1,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1241,2020-10-19 18:00,fractal_3_3,UNKNOWN,no,no,,1,0,0.23,2020-10-16T20:54:59+00:00,1,17.27,0,1,1.14,1,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1244,2020-10-20 06:00,fractal_3_3,UNKNOWN,no,no,,1,0,0.3,2020-10-19T20:58:59+00:00,1,0.86,0,0,24.95,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1249,2020-10-21 02:00,fractal_3_3,UNKNOWN,no,no,,1,0,0.3,2020-10-20T20:58:59+00:00,1,5.17,0,0,12.17,1,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1250,2020-10-21 06:00,fractal_3_3,UNKNOWN,no,no,,1,0,0.31,2020-10-20T20:58:59+00:00,1,4.91,0,0,12.43,1,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1252,2020-10-21 14:00,fractal_3_3,UNKNOWN,no,no,,0,0,0.62,2020-10-20T20:58:59+00:00,1,21.98,0,0,20.59,1,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1253,2020-10-21 18:00,fractal_3_3,UNKNOWN,no,no,,0,0,0.61,2020-10-20T20:58:59+00:00,1,22.07,0,0,20.5,1,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1255,2020-10-22 02:00,fractal_3_3,UNKNOWN,no,no,,1,0,0.23,2020-10-21T20:58:59+00:00,1,6.82,0,0,10.52,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1256,2020-10-22 06:00,fractal_3_3,UNKNOWN,no,no,,1,0,0.36,2020-10-21T20:58:59+00:00,1,2.17,0,0,13.87,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1258,2020-10-22 14:00,fractal_3_3,UNKNOWN,no,no,,1,1,3.46,2020-10-21T20:58:59+00:00,1,16.53,1,0,22.43,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1259,2020-10-22 18:00,fractal_3_3,UNKNOWN,no,no,,1,1,3.46,2020-10-21T20:58:59+00:00,1,16.34,1,0,22.62,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1260,2020-10-22 22:00,fractal_3_3,UNKNOWN,no,no,,1,1,3.6,2020-10-22T20:58:59+00:00,1,15.82,0,1,0.22,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1261,2020-10-23 02:00,fractal_3_3,UNKNOWN,no,no,,1,1,3.62,2020-10-22T20:58:59+00:00,1,15.25,0,1,0.79,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1262,2020-10-23 06:00,fractal_3_3,UNKNOWN,no,no,,1,0,0.03,2020-10-22T20:58:59+00:00,1,10.88,0,1,3.68,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1298,2020-11-02 07:00,fractal_3_3,UNKNOWN,no,no,,0,0,3.31,2020-10-30T20:54:59+00:00,1,11.0,0,0,16.93,1,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1299,2020-11-02 11:00,fractal_3_3,UNKNOWN,no,no,,0,0,3.39,2020-10-30T20:54:59+00:00,1,9.09,0,0,18.84,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1300,2020-11-02 15:00,fractal_3_3,UNKNOWN,no,no,,0,0,3.49,2020-10-30T20:54:59+00:00,1,6.8,0,0,21.13,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1301,2020-11-02 19:00,fractal_3_3,UNKNOWN,no,no,,0,0,3.62,2020-10-30T20:54:59+00:00,1,3.69,0,0,24.24,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1303,2020-11-03 03:00,fractal_3_3,UNKNOWN,no,no,,0,0,3.61,2020-11-02T21:58:59+00:00,1,5.83,0,0,22.1,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1308,2020-11-03 23:00,fractal_3_3,BOM,yes,no,GT08,0,0,3.45,2020-11-03T21:58:59+00:00,1,5.78,1,0,22.15,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1316,2020-11-05 07:00,fractal_3_3,UNKNOWN,no,no,,0,0,1.26,2020-11-04T21:58:59+00:00,1,1.94,0,0,24.84,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1326,2020-11-08 23:00,fractal_3_3,UNKNOWN,no,no,,0,0,2.71,2020-11-06T21:54:59+00:00,1,4.4,0,0,63.92,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1328,2020-11-09 07:00,fractal_3_3,UNKNOWN,no,no,,0,0,2.77,2020-11-06T21:54:59+00:00,1,2.84,0,0,65.48,1,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1333,2020-11-10 03:00,fractal_3_3,UNKNOWN,no,no,,1,0,0.1,2020-11-09T21:58:59+00:00,0,67.46,0,0,16.72,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1353,2020-11-13 11:00,fractal_3_3,UNKNOWN,no,no,,1,0,0.2,2020-11-12T21:58:59+00:00,0,64.27,0,0,22.94,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1355,2020-11-13 19:00,fractal_3_3,UNKNOWN,no,no,,1,0,0.14,2020-11-12T21:58:59+00:00,0,66.31,0,0,20.9,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1358,2020-11-16 07:00,fractal_3_3,UNKNOWN,no,no,,1,0,0.46,2020-11-13T21:54:59+00:00,0,64.06,0,0,23.15,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1359,2020-11-16 11:00,fractal_3_3,UNKNOWN,no,no,,1,0,0.35,2020-11-13T21:54:59+00:00,0,67.8,0,0,19.41,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1361,2020-11-16 19:00,fractal_3_3,UNKNOWN,no,no,,1,0,0.38,2020-11-13T21:54:59+00:00,0,66.79,0,0,20.42,1,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1362,2020-11-16 23:00,fractal_3_3,UNKNOWN,no,no,,1,0,0.45,2020-11-16T21:58:59+00:00,0,64.49,0,0,22.72,1,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1363,2020-11-17 03:00,fractal_3_3,UNKNOWN,no,no,,1,0,0.38,2020-11-16T21:58:59+00:00,0,66.69,0,0,12.54,1,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1364,2020-11-17 07:00,fractal_3_3,UNKNOWN,no,no,,1,0,0.37,2020-11-16T21:58:59+00:00,0,66.96,0,0,12.27,1,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
