entry_time,r_outcome,r_outcome_net,big_winner,winner,mfe,mae,rsi,rsi_minus_ma,rsi_above_60,rsi_above_55,adx,adx_above_30,adx_above_35,di_plus_minus_minus,atr_ratio_ma,atr_strong_expansion,dist_above_ema50_in_atr,dist_above_ema200_in_atr,body_pct,body_above_60pct,body_above_70pct,range_in_atr,range_above_atr,range_above_1_2_atr,ema50_slope_in_atr,htf12h_bullish,htf1d_bullish,htf1d_stack,prior_bar_bull,prior_2bar_bull,return_5bar,return_10bar,return_20bar
2021-02-05 13:00:00,-1.0,-1.05,False,False,0.2470771746978214,1.5006143099078264,71.79224246778986,1.9385023062908573,True,True,37.21408779564694,True,True,19.485756360954802,1.083129408715907,False,3.7978061311129236,7.5438942312360195,0.6021817453963173,True,False,1.6256262374553643,True,True,0.6278716820415432,True,True,True,False,False,0.04107616154525767,0.026130107777002507,0.18743011747166752
2021-02-09 05:00:00,-1.0,-1.05,False,False,0.30739626993663793,1.0672029067757673,68.61396373672571,13.180069879443586,True,True,25.457969296377215,False,False,18.282463939718127,1.0510826808551492,False,3.1420704107938593,7.072011623937844,0.8120164410058006,True,True,1.2501875340923723,True,True,0.5051438386553871,True,True,True,False,False,0.05102254850550599,0.16161375491016794,0.049115399378860204
2021-03-08 17:00:00,0.0,-0.05,False,False,1.308567171059903,0.20820679612378593,67.39621535782732,5.515788175907701,True,True,25.76281708493154,False,False,14.623793634367486,1.0001966784920608,False,2.797799992262603,3.120157439847556,0.7746478873239443,True,True,0.9479803987642609,False,False,0.4467380940856901,True,True,True,True,True,0.018548758049678007,0.0701034788964667,0.21908183138234555
2021-03-08 21:00:00,-1.0,-1.05,False,False,0.8051960967289454,1.1604821793210989,70.41331970947566,7.174969935001592,True,True,27.227247243904266,False,False,20.832871986194526,1.0226862886653207,False,3.2766891015369692,3.688795294313223,0.5426455566904994,False,False,1.279083108379874,True,True,0.47532026249739945,True,True,True,True,True,0.050032439696920616,0.08792725744980943,0.22448221354553696
2021-03-31 17:00:00,1.7090345898064643,1.6590345898064642,False,True,1.7429968310059338,0.5201001510320731,75.26725464631346,6.756450183376472,True,True,27.812678469501346,False,False,22.430544979139192,1.1741208021208613,False,4.193160175563673,5.247177513151557,0.9817003032521175,True,True,2.216842262126457,True,True,0.4606701023256819,True,True,True,True,True,0.0442005020091137,0.07677268132283173,0.1481944337504959
2021-04-02 01:00:00,0.0,-0.05,False,False,1.426086116297523,0.23765370286534976,72.71900282136784,3.888417213835467,True,True,32.304075708903184,True,False,13.270237070968582,1.172562971325333,False,3.8566273540043414,5.535598128301088,0.7392515923566898,True,True,1.061566383198048,True,False,0.6910484674097115,True,True,True,False,False,0.027251398664501065,0.09859931620161021,0.1042013080589735
2021-04-02 13:00:00,-1.0,-1.05,False,False,0.9765297087361582,1.3483277171081856,77.54262072716706,6.83012944298541,True,True,33.84409688276787,True,False,21.314864655543538,1.1564487383423778,False,4.588989907065061,6.541306358076685,0.5443670030167491,False,False,1.9883768358102538,True,True,0.7663025419447653,True,True,True,True,False,0.04371101765506602,0.06494677598233821,0.13355030891438666
2021-04-15 17:00:00,-1.0,-1.05,False,False,0.5024002998724001,1.3176917926632838,81.15515287923746,4.779852585078288,True,True,37.6127170982004,True,True,19.957796636758843,1.15606789112753,False,4.450340694911911,8.555928201976915,0.6591569767441896,True,False,1.1138217157887007,True,False,0.8307436170383915,True,True,True,True,True,0.03547860257664445,0.053958837874556076,0.16001300239151148
2021-04-15 21:00:00,-1.0,-1.05,False,False,0.07644236624466198,1.4704825452604684,82.89642851493971,5.738763395490679,True,True,39.14134233369925,True,True,23.784711134047974,1.143291745746476,False,4.748764535707204,8.947736221314909,0.5625879043600541,False,False,1.033297871718533,True,False,0.8479333170461791,True,True,True,True,True,0.033431396584129976,0.07855403601690379,0.18979005254566572
2021-04-21 09:00:00,0.0,-0.05,False,False,1.5227964618509364,0.3788293450044253,59.02501208495088,11.617933791033899,False,True,29.664967588432702,False,False,0.4841262107854156,1.0114365512171726,False,1.2160222350704686,3.280898240944195,0.5035436353529722,False,False,1.4882084871072285,True,True,0.1442862759703598,True,True,True,False,False,0.052941935082203295,0.07475057420133807,0.1010234876702519
2021-04-21 13:00:00,0.0,-0.05,False,False,1.901265420998855,0.9701095111845413,62.52401677808445,13.890719686801958,True,True,28.65753848409455,False,False,6.80080651639112,1.020358904623581,False,1.7059706253859115,3.783335565150375,0.5095098756400895,False,False,1.1203692680644222,True,False,0.18352225878724276,True,True,True,True,False,0.04978947550811778,0.16011086697399235,0.13387263548445963
