spread,total_r_net,avg_r_net,pf_net,win_rate,positive_overall
0.0,20.72,0.1312,1.27,0.253,True
0.02,17.56,0.1112,1.22,0.253,True
0.03,15.98,0.1012,1.2,0.253,True
0.05,12.82,0.0812,1.16,0.253,True
0.07,9.66,0.0612,1.11,0.253,True
0.1,4.92,0.0312,1.06,0.253,True
break_even,N/A,0.1312,N/A,N/A,N/A
