variant,N,WR_liq,sumNET,DD,rDD,streak,runners,yr2024,yr2025,yr2026,retention,note
BASELINE,435,46.0,233.6,-14.2,16.4,8,53,13.6,183.4,36.6,100.0,
FB1_protected_set,226,49.1,180.6,-10.3,17.59,7,34,11.9,141.3,27.4,77.3,"proteção, não filtro"
FB2_flagged,42,33.3,-6.0,-12.2,0.49,7,2,-4.9,-5.5,4.4,-2.6,
FB2_SKIP_blocked,393,47.3,239.6,-11.0,21.81,6,51,18.5,188.9,32.2,102.6,counterfactual bloqueado
FB2_SIZE50,435,46.0,236.6,-12.6,18.85,8,53,16.0,186.2,34.4,101.3,"acionável via F4 floor 0,5"
FB3_flagged,16,31.2,-9.5,-9.6,1.0,6,0,-8.1,-0.4,-1.0,-4.1,
FB3_SKIP_shelf,419,46.5,243.2,-14.2,17.07,8,53,21.7,183.8,37.7,104.1,prateleira
