n,out,fam,regime,absorption,bub_net,clean_sky,demand_room_4h,displacement_15m,excess_rsi_htf,maxbar_atr_15m,rangepos_15m,rangepos_4h,rangewidth_atr_15m,rotational_smc,rsi_slope_1h,supply_overhead_min
47,1,WIN,BULL,1.0,2.0,0,1.04,1.98,52.11,1.47,0.25,0.208,13.12,-1.0,-10.420000000000002,0.01
48,0,C,RANGE,-1.0,-4.0,0,0.12,0.49,65.75,1.51,0.31,0.764,6.07,-1.0,-8.059999999999995,0.17
49,0,D,BULL,-1.0,-8.0,0,15.67,0.3,72.75,1.55,0.289,0.82,6.98,4.0,-6.130000000000003,0.31
50,0,D,BULL,-1.0,-24.0,0,1.67,0.28,70.86,1.16,0.394,0.841,5.88,1.0,-7.619999999999997,0.49
51,1,WIN,BULL,3.0,21.0,0,3.61,0.36,66.83,0.98,0.802,1.132,8.75,4.0,23.11,1.0
52,1,WIN,BULL,0,0.0,0,7.54,0.84,81.41,2.62,0.562,0.824,6.71,-1.0,-4.189999999999998,0.64
53,1,WIN,BULL,0,12.0,0,11.84,0.06,78.1,1.22,0.321,0.744,12.1,0,-6.669999999999995,0.4
54,1,WIN,BULL,2.0,8.0,1,15.61,0.4,81.37,1.34,0.786,0.922,15.11,3.0,-12.239999999999995,2.12
55,0,C,BEAR,-1.0,-2.0,0,8.8,0.32,90.05,1.04,0.513,0.652,12.64,1.0,-16.009999999999998,0.23
56,0,C,BEAR,0,-14.0,0,0.85,0.66,56.09,1.35,0.392,0.455,6.7,2.0,-27.68,0.12
57,0,C,BEAR,7.0,16.0,0,1.53,0.05,59.19,1.1,0.623,0.886,5.08,3.0,-13.740000000000002,0.27
58,0,C,BEAR,1.0,4.0,0,1.13,0.96,58.07,2.06,0.498,0.873,5.34,7.0,-11.699999999999996,0.08
59,0,C,BEAR,4.0,23.0,0,2.0,0.4,61.04,1.56,0.627,0.904,4.73,3.0,-15.46,0.05
60,0,C,RANGE,0,-6.0,0,9.12,1.79,56.15,2.15,0.61,0.515,11.9,1.0,-9.82,1.04
61,1,WIN,RANGE,1.0,2.0,0,6.86,0.14,53.54,2.22,0.816,0.543,16.42,1.0,-7.609999999999992,0.01
62,1,WIN,BULL,-1.0,-4.0,0,1.77,0.94,63.62,1.84,0.36,0.75,8.22,0.0,-15.259999999999998,0.24
63,1,WIN,BULL,-1.0,-12.0,0,6.33,3.12,59.46,4.16,0.353,0.742,30.75,2.0,-5.970000000000006,0.51
64,0,MGMT,BULL,1.0,2.0,0,6.27,1.84,62.7,1.51,0.751,0.801,12.26,0.0,-4.009999999999998,0.06
65,0,C,BULL,0,0.0,0,6.83,1.14,65.88,1.0,0.55,0.728,8.55,2.0,-22.010000000000005,0.88
66,0,D,BEAR,0,0.0,0,1.55,0.92,52.53,1.46,0.495,0.35,8.49,-1.0,-2.030000000000001,0.43
67,0,D,BEAR,0,0.0,0,4.2,0.27,58.87,1.25,0.77,0.883,12.24,2.0,-17.08,0.01
68,0,D,RANGE,1.0,-2.0,0,1.11,0.04,50.42,1.55,0.275,0.348,11.2,0,-9.009999999999998,0.03
69,0,D,RANGE,1.0,4.0,0,1.01,0.38,47.16,1.14,0.464,0.15,6.32,0.0,-3.1599999999999966,0.22
70,1,WIN,BEAR,0,0.0,0,1.41,1.23,33.68,1.13,0.628,0.275,17.65,0.0,-7.909999999999997,0.04
71,1,WIN,BEAR,-1.0,-13.0,0,3.3,0.42,43.52,3.01,0.275,0.48,9.37,1.0,-9.730000000000004,0.08
72,1,WIN,BEAR,3.0,6.0,0,0.56,0.18,46.02,1.69,0.612,0.554,12.16,0.0,-9.68,0.09
73,1,WIN,BEAR,-1.0,-15.0,0,0.34,1.01,49.79,1.84,0.533,0.74,7.59,4.0,-14.490000000000002,0.05
74,1,WIN,BEAR,0,0.0,0,0.42,0.19,52.15,2.33,0.726,0.778,10.46,2.0,-1.009999999999998,0.01
75,1,WIN,BEAR,0,0.0,0,1.66,1.2,56.43,2.33,0.676,0.835,10.13,1.0,-6.420000000000002,0.07
76,1,WIN,BEAR,0,10.0,0,2.02,1.08,53.45,1.28,0.358,0.627,10.92,2.0,-10.770000000000003,0.04
77,0,MGMT,BEAR,0,0.0,0,3.62,0.97,52.79,2.45,0.38,0.561,6.06,2.0,0.09999999999999432,0.19
78,1,WIN,BEAR,0,0.0,0,2.91,0.83,55.37,1.34,0.139,0.549,12.21,1.0,3.3900000000000006,0.14
79,0,C,BEAR,-1.0,-8.0,0,3.99,0.97,61.26,1.39,0.461,0.741,10.7,0,-10.759999999999998,0.06
80,0,D,BEAR,0,0.0,0,0.42,0.48,46.98,1.14,0.484,0.229,10.38,0,-16.46,0.11
81,1,WIN,BEAR,-1.0,-47.0,0,3.56,0.72,45.91,1.61,0.218,0.298,11.68,2.0,-14.030000000000001,0.04
82,1,WIN,BEAR,0,-10.0,0,2.97,0.99,44.34,1.35,0.812,0.453,10.74,1.0,-6.839999999999996,0.11
83,0,C,BEAR,3.0,61.0,0,0.05,1.42,62.63,1.91,0.843,0.935,12.07,1.0,,0.05
84,0,C,BEAR,0,-4.0,0,0.96,0.61,61.22,1.78,0.27,0.77,8.23,-2.0,-9.630000000000003,0.0
85,0,C,BEAR,0,-8.0,0,0.05,0.25,51.51,1.76,0.6,0.392,8.72,0.0,-10.82,0.0
86,0,D,BEAR,-1.0,-4.0,0,0.55,0.76,46.12,2.1,0.285,0.237,6.62,-2.0,1.6499999999999986,0.08
87,0,D,BEAR,-1.0,-2.0,0,0.48,1.53,48.06,1.87,0.403,0.484,6.08,1.0,-7.560000000000002,0.02
88,1,WIN,BEAR,1.0,12.0,0,5.48,0.77,53.72,1.52,0.871,0.612,30.48,0,17.21,0.04
89,0,D,BEAR,0,-6.0,0,0.2,0.35,45.43,2.28,0.227,0.143,11.16,0,17.21,0.14
90,1,WIN,BEAR,-1.0,-9.0,0,0.6,0.21,45.43,1.43,0.731,-0.152,19.13,1.0,17.21,0.05
91,1,WIN,BEAR,-1.0,-4.0,0,0.28,0.27,45.43,1.44,0.415,0.297,13.83,1.0,17.21,0.08
92,0,D,BEAR,3.0,19.0,0,0.97,1.21,45.43,1.76,0.509,0.354,5.69,-1.0,17.21,0.0
93,0,D,BEAR,0,0.0,0,0.03,1.01,45.43,1.74,0.351,-0.272,12.74,0.0,17.21,0.21
94,0,D,BEAR,0,0.0,0,0.21,0.7,45.43,1.55,0.634,-0.167,10.79,0.0,17.21,0.3
95,1,WIN,BEAR,-1.0,-31.0,0,2.41,0.44,45.43,1.54,0.159,-0.934,11.57,0.0,17.21,0.03
96,1,WIN,BEAR,-1.0,-10.0,0,1.13,1.08,45.43,2.2,0.558,-0.682,22.08,0,17.21,0.0
