t,utc,R,risk,net
1733471100,2024-12-06T07:45:00,-0.51,4.25,-0.698
1733920200,2024-12-11T12:30:00,-1.0,4.67,-1.171
1734666300,2024-12-20T03:45:00,1.929,12.7,1.866
1735022700,2024-12-24T06:45:00,-1.0,3.27,-1.245
1735587000,2024-12-30T19:30:00,0.957,5.79,0.819
1736325000,2025-01-08T08:30:00,-1.0,4.49,-1.178
1736403300,2025-01-09T06:15:00,1.033,6.0,0.899
1737612000,2025-01-23T06:00:00,-1.0,3.15,-1.254
1738067400,2025-01-28T12:30:00,5.711,3.29,5.468
1738813500,2025-02-06T03:45:00,-1.0,5.84,-1.137
1740086100,2025-02-20T21:15:00,-0.394,6.8,-0.512
1740482100,2025-02-25T11:15:00,-1.0,11.57,-1.069
1740984300,2025-03-03T06:45:00,-1.0,4.91,-1.163
1741116600,2025-03-04T19:30:00,-1.0,6.94,-1.115
1742170500,2025-03-17T00:15:00,0.651,8.23,0.554
1742580900,2025-03-21T18:15:00,0.453,6.88,0.336
1742847300,2025-03-24T20:15:00,0.35,8.17,0.252
1743012000,2025-03-26T18:00:00,2.197,5.31,2.047
1743536700,2025-04-01T19:45:00,-1.0,6.22,-1.129
1744029900,2025-04-07T12:45:00,-1.0,18.66,-1.043
1744593300,2025-04-14T01:15:00,-0.164,15.86,-0.215
1744737300,2025-04-15T17:15:00,11.396,6.63,11.276
1744918200,2025-04-17T19:30:00,5.366,10.72,5.292
1745487900,2025-04-24T09:45:00,-1.0,12.41,-1.064
1745815500,2025-04-28T04:45:00,-1.0,20.64,-1.039
1745952300,2025-04-29T18:45:00,-1.0,8.17,-1.098
1746036000,2025-04-30T18:00:00,-1.0,9.69,-1.083
1746147600,2025-05-02T01:00:00,1.447,9.48,1.363
1747215000,2025-05-14T09:30:00,-1.0,11.93,-1.067
1748237400,2025-05-26T05:30:00,-1.0,5.75,-1.139
1748383200,2025-05-27T22:00:00,-1.0,4.53,-1.177
1748499300,2025-05-29T06:15:00,0.427,9.07,0.339
1748628000,2025-05-30T18:00:00,1.269,11.53,1.2
1748996100,2025-06-04T00:15:00,-1.0,6.9,-1.116
1749171600,2025-06-06T01:00:00,-0.462,6.71,-0.581
1749533400,2025-06-10T05:30:00,0.738,14.37,0.683
1750165200,2025-06-17T13:00:00,-1.0,11.36,-1.07
1750269600,2025-06-18T18:00:00,-1.0,11.78,-1.068
1751561100,2025-07-03T16:45:00,-1.0,12.03,-1.067
1751635800,2025-07-04T13:30:00,-1.0,7.1,-1.113
1752544800,2025-07-15T02:00:00,1.479,4.96,1.317
1752726600,2025-07-17T04:30:00,-1.0,7.6,-1.105
1753377300,2025-07-24T17:15:00,-1.0,6.21,-1.129
1753685100,2025-07-28T06:45:00,-1.0,5.35,-1.15
1754024400,2025-08-01T05:00:00,3.939,12.25,3.874
1754632800,2025-08-08T06:00:00,-1.0,5.71,-1.14
1755057600,2025-08-13T04:00:00,-1.0,5.8,-1.138
1755583200,2025-08-19T06:00:00,-0.183,3.67,-0.401
1755814500,2025-08-21T22:15:00,-1.0,2.86,-1.28
1756215000,2025-08-26T13:30:00,0.588,8.02,0.489
1756980000,2025-09-04T10:00:00,-0.574,9.67,-0.657
1758060000,2025-09-16T22:00:00,-1.0,4.15,-1.193
1758224700,2025-09-18T19:45:00,-1.0,6.76,-1.118
1758668400,2025-09-23T23:00:00,-1.0,8.93,-1.09
1758774600,2025-09-25T04:30:00,1.079,9.29,0.993
1758819600,2025-09-25T17:00:00,1.758,18.94,1.715
1760062500,2025-10-10T02:15:00,-1.0,16.38,-1.049
1761188400,2025-10-23T03:00:00,1.109,19.38,1.068
1761677100,2025-10-28T18:45:00,-1.0,13.45,-1.059
1761811200,2025-10-30T08:00:00,0.293,22.15,0.257
1761942600,2025-10-31T20:30:00,-1.0,14.21,-1.056
1762173000,2025-11-03T12:30:00,0.099,15.98,0.049
1762250400,2025-11-04T10:00:00,-1.0,10.42,-1.077
1762346700,2025-11-05T12:45:00,0.652,13.78,0.594
1762486200,2025-11-07T03:30:00,-1.0,8.03,-1.1
1762943400,2025-11-12T10:30:00,4.285,15.35,4.233
1763384400,2025-11-17T13:00:00,-1.0,21.06,-1.038
1763470800,2025-11-18T13:00:00,0.607,15.8,0.556
1763726400,2025-11-21T12:00:00,1.023,15.95,0.972
1764255600,2025-11-27T15:00:00,2.703,8.88,2.613
1764621000,2025-12-01T20:30:00,-1.0,13.12,-1.061
1764702000,2025-12-02T19:00:00,1.417,15.89,1.366
1765438200,2025-12-11T07:30:00,3.772,14.43,3.717
1765758600,2025-12-15T00:30:00,3.112,11.83,3.045
1765827900,2025-12-15T19:45:00,-1.0,16.04,-1.05
1766034000,2025-12-18T05:00:00,-1.0,9.66,-1.083
1766979000,2025-12-29T03:30:00,-1.0,28.34,-1.028
1767822300,2026-01-07T21:45:00,-0.898,8.17,-0.996
1767900600,2026-01-08T19:30:00,0.975,8.62,0.882
1768498200,2026-01-15T17:30:00,-1.0,15.41,-1.052
1768557600,2026-01-16T10:00:00,-1.0,9.52,-1.084
1769075100,2026-01-22T09:45:00,0.053,11.01,-0.02
1770786900,2026-02-11T05:15:00,-0.165,11.81,-0.233
1770834600,2026-02-11T18:30:00,-1.0,20.36,-1.039
1770977700,2026-02-13T10:15:00,-1.0,19.12,-1.042
1771229700,2026-02-16T08:15:00,-1.0,20.02,-1.04
1772129700,2026-02-26T18:15:00,-0.118,18.77,-0.161
1773032400,2026-03-09T05:00:00,-0.092,19.66,-0.133
1773230400,2026-03-11T12:00:00,-1.0,18.27,-1.044
1773639000,2026-03-16T05:30:00,-1.0,20.69,-1.039
1774568700,2026-03-26T23:45:00,1.061,31.15,1.036
1774614600,2026-03-27T12:30:00,2.268,31.52,2.243
1775536200,2026-04-07T04:30:00,-1.0,26.11,-1.031
1775588400,2026-04-07T19:00:00,7.951,17.11,7.904
1775799000,2026-04-10T05:30:00,-1.0,9.55,-1.084
1776367800,2026-04-16T19:30:00,-1.0,18.11,-1.044
1776885300,2026-04-22T19:15:00,-1.0,16.53,-1.048
1777291200,2026-04-27T12:00:00,-1.0,10.76,-1.074
1778217300,2026-05-08T05:15:00,-0.593,12.75,-0.656
1778671800,2026-05-13T11:30:00,-1.0,13.82,-1.058
1779269400,2026-05-20T09:30:00,0.496,13.18,0.435
1779423300,2026-05-22T04:15:00,-1.0,15.03,-1.053
1781170200,2026-06-11T09:30:00,-1.0,21.69,-1.037
1781570700,2026-06-16T00:45:00,1.296,14.14,1.239
1781636400,2026-06-16T19:00:00,-1.0,16.13,-1.05
1782153000,2026-06-22T18:30:00,-1.0,14.96,-1.053
1782799200,2026-06-30T06:00:00,1.362,18.36,1.319
