n,out,fam,15M_atr_rel,15M_dem_below,15M_ema_trend,15M_nas_long,15M_nas_short,15M_px_vs_ema,15M_rsi,15M_rsi_slope,15M_smc_BOS,15M_smc_CHoCH,15M_smc_EQH,15M_smc_EQL,15M_sup_above,1D_atr_rel,1D_dem_below,1D_ema_trend,1D_nas_long,1D_nas_short,1D_px_vs_ema,1D_rsi,1D_rsi_slope,1D_smc_BOS,1D_smc_CHoCH,1D_smc_EQH,1D_smc_EQL,1D_sup_above,1H_atr_rel,1H_dem_below,1H_ema_trend,1H_nas_long,1H_nas_short,1H_px_vs_ema,1H_rsi,1H_rsi_slope,1H_smc_BOS,1H_smc_CHoCH,1H_smc_EQH,1H_smc_EQL,1H_sup_above,30M_atr_rel,30M_dem_below,30M_ema_trend,30M_nas_long,30M_nas_short,30M_px_vs_ema,30M_rsi,30M_rsi_slope,30M_smc_BOS,30M_smc_CHoCH,30M_smc_EQH,30M_smc_EQL,30M_sup_above,4H_atr_rel,4H_dem_below,4H_ema_trend,4H_nas_long,4H_nas_short,4H_px_vs_ema,4H_rsi,4H_rsi_slope,4H_smc_BOS,4H_smc_CHoCH,4H_smc_EQH,4H_smc_EQL,4H_sup_above,bub_buy_at_high,bub_buy_ml,bub_count,bub_net,bub_sell_absorbed_low,bub_sell_ml,mtf_bull_align,mtf_dem_conf,mtf_net_conf,mtf_sup_conf
73,1,WIN,0.0055,0.06,-0.821,0,0,0.113,45.26,18.22,0,2,0,0,0.05,0.0407,1.67,-10.303,2,0,-12.845,36.32,8.870000000000001,0,1,0,0,2.17,0.0087,0.21,0.386,0,0,0.27,46.8,-14.490000000000002,0,0,0,0,0.2,0.006,0.1,-0.666,0,0,-0.11,38.11,-12.399999999999999,0,2,0,0,0.05,0.0147,0.34,-0.473,0,0,0.026,49.79,7.25,0,0,0,0,0.48,0,0,7,-15,1,15,0,4,0,4
74,1,WIN,0.0031,0.2,-0.085,0,0,1.52,50.72,10.990000000000002,0,0,0,1,0.08,0.0411,6.82,-14.368,2,0,-14.006,36.32,4.899999999999999,0,1,0,0,35.65,0.0064,1.27,-0.22,0,0,1.392,49.92,-1.009999999999998,1,0,0,1,0.01,0.0041,0.8,-0.308,0,0,1.246,47.22,-0.25,0,1,0,0,0.12,0.014,0.42,1.213,0,0,3.072,52.15,4.059999999999995,0,0,0,0,2.57,0,0,0,0,0,0,2,3,0,3
75,1,WIN,0.0026,0.09,-0.342,0,0,1.294,45.87,-0.35999999999999943,0,1,0,0,0.22,0.0411,0.75,-16.33,2,0,-13.063,36.32,4.899999999999999,0,1,0,0,37.67,0.0069,2.23,0.779,0,0,2.17,51.96,-6.420000000000002,1,1,0,1,1.19,0.0033,0.55,0.224,0,0,1.42,53.21,-5.560000000000002,1,1,0,0,0.29,0.0139,1.66,2.229,0,0,4.773,56.43,3.3399999999999963,1,0,0,0,0.07,0,0,2,0,0,0,3,3,-1,4
76,1,WIN,0.0046,0.03,-0.66,0,0,0.316,42.84,9.290000000000006,0,1,0,0,0.04,0.0435,3.43,-4.792,2,0,-4.342,45.76,9.439999999999998,0,1,0,0,19.75,0.0081,1.04,-0.32,0,0,-0.595,39.66,-10.770000000000003,0,0,0,0,1.34,0.0051,0.03,-0.726,0,0,0.029,37.23,-6.57,0,1,0,0,0.52,0.0147,2.02,0.424,0,0,0.256,53.45,5.450000000000003,0,0,0,0,1.47,0,10,6,10,0,0,1,3,1,2
77,0,MGMT,0.0032,0.01,-0.541,0,0,0.128,39.62,-8.39,0,1,0,0,0.32,0.0443,5.74,-4.89,2,0,-5.408,44.77,8.450000000000003,0,1,0,0,29.13,0.0046,2.15,-0.489,0,0,-0.591,46.41,0.09999999999999432,0,0,0,0,0.8,0.0033,0.2,-0.44,0,0,-0.306,32.79,-15.219999999999999,1,1,1,0,0.19,0.0144,3.62,0.647,0,0,0.386,52.79,-0.3500000000000014,0,0,0,0,1.63,0,0,0,0,0,0,1,2,-1,3
78,1,WIN,0.0025,0.09,-0.468,0,0,0.175,47.06,6.900000000000006,1,0,1,1,0.33,0.0435,2.28,-1.836,2,0,-0.557,48.05,-0.9200000000000017,0,0,0,0,27.99,0.0064,0.36,-1.604,0,2,-1.693,42.81,3.3900000000000006,0,1,0,0,0.14,0.0038,0.3,-1.207,1,0,-0.844,36.72,-0.4200000000000017,0,0,0,0,0.3,0.0126,2.91,3.857,0,0,1.229,55.37,-11.720000000000006,1,0,0,0,3.74,0,0,8,0,0,0,1,3,0,3
79,0,C,0.0021,0.18,-0.386,1,0,0.536,45.27,12.080000000000005,0,0,0,0,0.29,0.0297,11.93,1.219,0,0,6.784,54.4,6.350000000000001,0,0,0,0,0.42,0.0038,3.01,-0.194,0,3,0.104,45.61,-10.759999999999998,0,0,0,0,1.34,0.0027,0.21,-0.816,0,1,-0.031,39.17,-9.54,0,0,0,0,0.06,0.0074,3.99,3.363,0,0,3.385,61.26,-0.09000000000000341,1,1,1,0,1.3,0,0,9,-8,1,8,2,2,-1,3
80,0,D,0.0015,0.05,-1.335,6,0,0.556,29.38,5.93,0,0,0,0,0.5,0.0214,0.86,-0.343,0,0,-6.402,46.34,-6.669999999999995,0,0,0,0,14.91,0.004,0.59,-0.061,0,0,-0.775,40.79,-16.46,0,0,0,0,0.11,0.002,0.09,-1.517,0,0,-0.37,35.72,-4.399999999999999,0,0,0,0,0.11,0.0082,0.42,-2.22,0,0,-3.567,46.98,8.529999999999994,0,0,0,0,1.33,0,0,0,0,0,0,0,5,2,3
81,1,WIN,0.0017,0.14,-0.733,6,0,0.16,39.61,3.8800000000000026,0,0,0,0,0.42,0.0215,1.88,-7.41,0,0,-17.095,43.2,-3.1400000000000006,0,0,0,0,32.4,0.0031,0.09,-2.107,0,0,-2.516,34.1,-14.030000000000001,0,1,0,0,1.69,0.0025,0.12,-2.165,3,0,-1.451,32.04,3.789999999999999,0,1,0,1,0.04,0.0085,3.56,-0.438,4,0,-4.006,45.91,-1.3800000000000026,1,0,0,0,1.28,0,0,24,-47,1,47,0,3,1,2
82,1,WIN,0.0011,0.37,-0.549,0,0,2.291,34.44,-12.510000000000005,0,1,0,0,0.22,0.0219,1.17,-10.742,0,0,-14.151,,,0,0,0,0,35.75,0.0032,0.13,0.304,0,0,2.294,48.52,-6.839999999999996,0,0,0,0,0.11,0.0019,0.65,-0.401,0,1,2.046,49.05,-1.9600000000000009,0,0,0,0,0.21,0.0076,2.97,-2.043,1,0,-0.414,44.34,5.310000000000002,1,0,0,0,0.45,0,0,14,-10,0,10,0,4,0,4
83,0,C,0.003,0.05,-0.25,0,6,0.553,50.07,5.799999999999997,1,1,0,0,0.13,0.0219,0.3,-5.008,0,0,1.757,,,0,0,0,0,8.31,0.0048,0.15,2.753,0,2,3.508,,,1,1,0,0,0.05,0.0037,0.19,1.016,0,6,1.479,60.8,-25.92,0,1,0,0,0.1,0.0084,0.05,1.29,1,0,6.629,62.63,14.550000000000004,1,1,0,0,0.9,3,61,24,61,0,0,3,5,1,4
84,0,C,0.0022,0.15,-0.753,0,0,0.179,43.76,4.68,1,0,0,0,0.0,0.0223,1.32,-3.932,0,0,3.095,49.83,6.960000000000001,0,0,0,0,11.14,0.0049,0.04,-0.862,0,2,-0.73,41.86,-9.630000000000003,1,0,0,0,0.07,0.0038,0.08,-1.17,0,0,-0.685,36.94,-3.219999999999999,2,1,0,0,0.32,0.0091,0.96,3.993,1,0,4.182,61.22,-5.760000000000005,1,1,0,0,0.41,0,0,7,-4,0,4,1,4,0,4
85,0,C,0.0022,0.06,-0.416,0,0,0.278,39.01,2.1400000000000006,1,0,0,0,0.0,0.022,0.05,0.432,0,0,0.617,51.51,1.4399999999999977,0,0,0,0,12.34,0.0035,0.07,-0.605,0,0,-0.451,38.19,-10.82,1,0,0,0,0.18,0.0026,0.01,-0.712,0,0,-0.13,42.71,2.1700000000000017,0,1,0,0,0.06,0.0081,0.05,-0.048,0,0,-0.565,47.1,-0.6599999999999966,0,1,1,0,0.53,0,0,10,-8,0,8,1,5,1,4
86,0,D,0.0028,0.03,-0.234,0,0,0.112,41.71,-2.030000000000001,2,0,1,0,0.11,0.0232,6.46,-4.057,0,0,-9.877,36.9,-9.79,1,0,0,0,0.86,0.0046,0.09,-0.486,0,0,-0.701,46.28,1.6499999999999986,0,2,0,0,0.55,0.0035,0.05,-0.633,0,0,-0.363,43.61,5.409999999999997,1,0,0,0,0.08,0.009,0.55,-0.094,2,0,-1.837,46.12,0.29999999999999716,2,0,0,0,0.99,0,0,8,-4,1,4,0,4,-1,5
87,0,D,0.0024,0.08,-0.703,0,0,0.401,38.08,-5.200000000000003,0,1,0,0,0.02,0.0229,7.85,-5.318,0,0,-9.66,42.13,2.8599999999999994,1,0,0,0,0.32,0.0039,0.14,-0.341,0,0,-0.267,45.4,-7.560000000000002,1,0,0,0,0.45,0.003,0.04,-0.43,0,0,0.025,36.77,-11.589999999999996,2,0,1,1,0.11,0.0082,0.48,-0.273,1,0,-1.149,48.06,-3.0700000000000003,2,0,0,0,0.47,0,0,8,-2,1,2,0,4,-1,5
88,1,WIN,0.001,0.23,0.106,0,5,0.985,51.87,-9.100000000000001,0,0,0,0,0.12,0.0216,13.26,-11.734,0,0,-23.139,45.43,8.530000000000001,1,0,0,0,5.15,0.004,1.35,1.868,0,0,-6.688,64.5,17.21,0,0,0,0,0.04,0.0027,0.01,3.714,0,0,-7.552,66.95,5.020000000000003,0,0,0,0,0.07,0.0093,5.48,-5.234,1,0,3.934,53.72,22.75,0,1,1,0,2.72,1,12,11,12,0,0,2,2,-1,3
89,0,D,0.0017,0.03,-0.379,6,0,0.285,34.13,-12.509999999999998,0,0,0,0,0.14,0.0216,2.11,-7.431,0,0,-20.944,45.43,8.530000000000001,1,0,0,0,9.55,0.004,1.23,1.183,0,0,-10.525,64.5,17.21,0,0,0,0,1.19,0.0027,0.04,2.352,0,0,-11.072,66.95,5.020000000000003,0,0,0,0,0.14,0.0072,0.2,-0.507,0,0,-2.837,42.76,-4.990000000000002,1,0,0,0,4.43,0,0,9,-6,0,6,0,3,0,3
90,1,WIN,0.0022,0.03,-0.432,0,0,0.909,41.49,-3.6199999999999974,0,0,1,0,0.05,0.0216,5.46,-5.725,0,0,-41.255,45.43,8.530000000000001,0,0,0,0,2.47,0.004,0.13,0.912,0,0,-33.228,64.5,17.21,0,0,0,0,0.53,0.0027,0.02,1.812,0,0,-33.649,66.95,5.020000000000003,0,0,0,0,0.19,0.0093,0.6,-3.907,0,0,-14.669,27.15,-11.940000000000005,1,0,0,0,0.14,0,0,7,-9,1,9,0,4,0,4
91,1,WIN,0.0014,0.03,-0.465,1,0,0.392,34.51,-6.200000000000003,0,1,0,0,0.08,0.0216,2.96,-9.392,0,0,-47.39,45.43,8.530000000000001,0,0,0,0,1.17,0.004,0.43,1.495,0,0,-34.223,64.5,17.21,0,0,0,0,1.37,0.0027,0.12,2.972,0,0,-34.914,66.95,5.020000000000003,0,0,0,0,0.59,0.0093,0.28,-6.409,0,0,-3.779,27.15,-11.940000000000005,0,0,0,0,2.51,0,0,8,-4,1,4,0,4,1,3
92,0,D,0.0021,0.13,-0.664,0,0,0.216,42.2,5.790000000000006,2,1,0,0,0.0,0.0216,3.38,-5.715,0,0,-27.256,45.43,8.530000000000001,0,0,0,0,2.39,0.004,0.12,0.91,0,0,-19.244,64.5,17.21,0,0,0,0,0.65,0.0027,0.02,1.809,0,0,-19.665,66.95,5.020000000000003,0,0,0,0,0.12,0.0093,0.97,-3.9,0,0,-0.72,27.15,-11.940000000000005,0,0,0,0,0.29,3,19,21,19,0,0,0,4,0,4
93,0,D,0.0018,0.01,-0.061,0,0,1.033,42.45,-8.39,1,1,0,0,0.21,0.0216,2.46,-6.599,0,0,-51.375,45.43,8.530000000000001,0,0,0,0,6.68,0.004,0.67,1.051,0,0,-42.124,64.5,17.21,0,0,0,0,0.3,0.0027,0.13,2.088,0,0,-42.61,66.95,5.020000000000003,0,0,0,0,0.21,0.0093,0.03,-4.503,0,0,-20.735,27.15,-11.940000000000005,0,0,0,0,0.98,0,0,1,0,0,0,0,4,0,4
94,0,D,0.0019,0.06,-0.364,0,0,0.195,44.19,-1.3800000000000026,1,1,0,0,0.3,0.0216,6.47,-7.375,0,0,-53.704,45.43,8.530000000000001,0,0,0,0,3.74,0.004,0.1,1.174,0,0,-43.364,64.5,17.21,0,0,0,0,0.56,0.0027,0.02,2.334,0,0,-43.907,66.95,5.020000000000003,0,0,0,0,0.3,0.0093,0.21,-5.033,0,0,-19.458,27.15,-11.940000000000005,0,0,0,0,0.74,0,0,8,0,0,0,0,4,0,4
95,1,WIN,0.0022,0.13,-0.608,8,0,0.137,49.21,2.5,1,0,0,1,0.03,0.0216,7.56,-6.445,0,0,-70.736,45.43,8.530000000000001,0,0,0,0,5.04,0.004,0.05,1.026,0,0,-61.7,64.5,17.21,0,0,0,0,0.42,0.0027,0.06,2.04,0,0,-62.175,66.95,5.020000000000003,0,0,0,0,0.14,0.0093,2.41,-4.398,0,0,-40.809,27.15,-11.940000000000005,0,0,0,0,3.14,0,0,26,-31,1,31,0,3,0,3
96,1,WIN,0.002,0.08,-0.629,0,0,0.232,48.62,2.1999999999999957,0,0,0,0,0.0,0.0216,3.29,-8.205,0,0,-80.078,45.43,8.530000000000001,0,0,0,0,24.5,0.004,0.28,1.306,0,0,-68.575,64.5,17.21,0,0,0,0,0.77,0.0027,0.06,2.597,0,0,-69.179,66.95,5.020000000000003,0,0,0,0,0.12,0.0093,1.13,-5.599,0,0,-41.978,27.15,-11.940000000000005,0,0,0,0,0.19,0,0,12,-10,1,10,0,4,0,4
