n,out,fam,15M_atr_rel,15M_dem_below,15M_ema_trend,15M_nas_long,15M_nas_short,15M_px_vs_ema,15M_rsi,15M_rsi_slope,15M_smc_BOS,15M_smc_CHoCH,15M_smc_EQH,15M_smc_EQL,15M_sup_above,1D_atr_rel,1D_dem_below,1D_ema_trend,1D_nas_long,1D_nas_short,1D_px_vs_ema,1D_rsi,1D_rsi_slope,1D_smc_BOS,1D_smc_CHoCH,1D_smc_EQH,1D_smc_EQL,1D_sup_above,1H_atr_rel,1H_dem_below,1H_ema_trend,1H_nas_long,1H_nas_short,1H_px_vs_ema,1H_rsi,1H_rsi_slope,1H_smc_BOS,1H_smc_CHoCH,1H_smc_EQH,1H_smc_EQL,1H_sup_above,30M_atr_rel,30M_dem_below,30M_ema_trend,30M_nas_long,30M_nas_short,30M_px_vs_ema,30M_rsi,30M_rsi_slope,30M_smc_BOS,30M_smc_CHoCH,30M_smc_EQH,30M_smc_EQL,30M_sup_above,4H_atr_rel,4H_dem_below,4H_ema_trend,4H_nas_long,4H_nas_short,4H_px_vs_ema,4H_rsi,4H_rsi_slope,4H_smc_BOS,4H_smc_CHoCH,4H_smc_EQH,4H_smc_EQL,4H_sup_above,bub_buy_at_high,bub_buy_ml,bub_count,bub_net,bub_sell_absorbed_low,bub_sell_ml,mtf_bull_align,mtf_dem_conf,mtf_net_conf,mtf_sup_conf
42,0,C,0.0023,0.28,-0.621,3,0,0.071,37.98,5.3899999999999935,0,1,0,0,0.24,0.0135,12.75,4.971,0,0,14.329,69.09,10.330000000000005,1,0,1,0,5.03,0.0031,2.92,-0.281,0,2,-0.871,39.39,-26.75,0,0,0,0,3.59,0.0028,2.14,-1.367,1,1,-0.755,35.6,-2.990000000000002,0,0,0,0,2.53,0.0078,4.42,3.5,0,1,3.42,67.56,6.270000000000003,0,0,0,0,2.72,0,0,4,0,0,0,2,1,0,1
43,1,WIN,0.0023,0.32,-0.143,0,4,0.385,48.74,-1.0499999999999972,0,0,0,0,0.16,0.0137,11.88,5.403,0,1,12.219,69.49,8.849999999999994,1,0,1,0,5.3,0.0035,1.71,0.612,0,0,0.761,49.31,1.6000000000000014,0,2,0,0,0.18,0.003,0.51,0.277,0,2,0.738,,,0,1,0,0,0.42,0.0081,3.82,0.825,0,1,2.033,49.83,-9.950000000000003,0,0,0,0,3.08,3,27,20,18,0,9,1,2,-1,3
44,1,WIN,0.0022,0.05,0.237,0,0,0.38,37.67,-24.369999999999997,1,3,0,0,0.08,0.0143,13.27,6.254,0,2,11.4,72.02,2.9299999999999926,1,0,1,0,2.84,0.0025,1.05,-0.158,0,0,0.148,41.72,-3.030000000000001,0,1,2,0,0.31,0.0021,0.01,-0.086,0,0,0.235,54.93,20.71,1,0,1,0,0.34,0.0061,4.68,1.241,0,1,1.486,56.02,-4.119999999999997,0,0,1,0,0.4,0,0,22,-47,1,47,3,3,-1,4
45,1,WIN,0.0015,0.04,-0.461,0,0,0.103,41.07,-1.6099999999999994,0,1,0,0,0.26,0.0142,23.22,12.279,0,2,17.782,70.8,1.7099999999999937,1,0,1,0,0.67,0.0043,0.52,-0.638,0,0,-1.081,42.39,-9.0,1,2,1,0,0.91,0.0018,0.78,-0.898,0,0,-0.557,42.71,-2.3900000000000006,0,1,0,0,0.03,0.0058,7.27,1.308,0,0,0.835,58.56,-0.5399999999999991,0,0,1,0,2.18,0,0,0,0,0,0,2,3,-1,4
46,0,C,0.0028,0.22,-0.676,1,0,0.044,43.48,5.729999999999997,1,0,0,0,0.45,0.0145,23.59,6.976,0,3,16.89,80.86,8.840000000000003,1,0,1,0,,0.0042,0.12,-0.283,0,0,-0.503,42.9,-9.730000000000004,0,2,0,0,1.14,0.0028,0.11,-0.684,0,0,-0.406,35.03,-13.82,0,1,0,0,1.02,0.0072,2.62,2.947,0,4,3.412,69.7,0.25,1,0,0,0,0.49,0,0,4,-2,0,2,2,3,-1,4
47,1,WIN,0.0017,0.07,-0.66,6,0,0.316,45.73,10.579999999999998,1,0,0,0,0.01,0.0203,18.84,8.849,0,3,1.808,52.11,-27.650000000000006,0,0,0,0,3.91,0.0038,0.02,-2.464,0,0,-2.556,35.64,-10.420000000000002,0,1,0,0,0.34,0.0032,0.11,-2.246,3,2,-1.422,29.54,0.5799999999999983,0,0,0,0,0.39,0.0094,1.04,-1.568,0,0,-4.896,45.69,-1.4000000000000057,0,0,0,1,0.48,1,2,6,2,0,0,1,4,0,4
48,0,C,0.0029,0.03,-0.347,0,0,0.018,44.92,2.740000000000002,2,0,0,0,0.2,0.0201,11.43,2.399,0,1,7.897,65.75,10.909999999999997,0,0,0,1,5.91,0.004,0.77,-0.62,0,0,-0.991,41.45,-8.059999999999995,0,0,0,1,1.55,0.0028,0.43,-0.533,0,0,-0.555,38.76,3.4399999999999977,0,1,0,0,0.17,0.0071,0.12,1.666,0,0,0.68,56.82,-7.6399999999999935,1,0,1,0,2.79,0,0,13,-4,1,4,2,4,2,2
49,0,D,0.0017,0.02,-0.442,0,0,0.247,41.16,-0.3300000000000054,0,1,2,0,0.33,0.0214,35.73,9.943,0,1,23.494,70.03,4.280000000000001,1,0,0,1,,0.0033,0.67,0.112,0,4,0.267,49.51,-6.130000000000003,1,0,0,0,0.31,0.0022,0.73,-0.43,0,0,-0.121,44.62,-10.170000000000002,0,1,0,0,0.63,0.0071,15.67,6.075,0,3,7.142,72.75,-4.730000000000004,2,0,0,0,3.14,0,0,10,-8,1,8,2,3,0,3
50,0,D,0.0022,0.04,-0.512,0,0,0.654,39.82,1.6000000000000014,0,1,0,1,0.49,0.0203,28.93,8.533,0,2,16.103,70.86,7.920000000000002,1,0,0,1,,0.0042,1.82,-1.02,0,0,-0.675,39.53,-7.619999999999997,0,1,2,0,1.54,0.0034,0.03,-1.025,0,0,-0.087,39.02,6.0,1,0,0,0,0.81,0.0073,1.67,2.673,0,4,1.7,64.5,-4.730000000000004,2,0,0,0,0.94,0,0,17,-24,1,24,2,2,-1,3
51,1,WIN,0.0037,1.74,0.817,0,5,0.923,61.86,-11.510000000000005,0,2,0,0,1.0,0.0203,20.38,5.566,0,3,11.055,66.83,-3.200000000000003,1,0,0,1,,0.0062,2.97,0.898,0,0,2.633,69.42,23.11,0,1,0,0,,0.0039,1.75,1.934,0,3,1.995,66.01,-8.309999999999988,0,2,0,0,1.39,0.007,3.61,-0.043,0,0,3.574,48.06,-4.259999999999998,1,0,0,0,,3,21,8,21,0,0,4,0,-1,1
52,1,WIN,0.0044,0.26,-0.927,1,0,0.267,40.7,0.8500000000000014,1,0,0,0,0.64,0.0177,12.5,5.202,0,3,15.084,75.53,4.670000000000002,1,0,0,1,,0.007,4.9,0.075,0,4,-0.009,61.03,-4.189999999999998,0,1,0,0,2.17,0.0066,0.37,-0.664,0,0,-0.294,33.9,-9.39,1,1,0,0,2.1,0.0078,7.54,3.592,0,1,4.07,81.41,5.679999999999993,2,0,0,0,,0,0,4,0,0,0,2,2,1,1
