strategy,n,total_r_net,avg_r_net,win_rate,pf_net,max_losing_streak,r_no_top5_net,r_no_top10_net,trades_per_week,trades_per_month
XPT_SWING_4H_brk10_b50|DXY_below_ema200|HTF1D+12H|tgt2.0R,91,11.57,0.1272,0.363,1.28,7,1.82,-7.93,0.25,1.07
XPT_SWING_4H_brk_dec_b70_r15|DXY_below_ema200|HTF1D|tgt3.0R,48,11.53,0.2402,0.396,1.64,5,-3.22,-12.45,0.13,0.56
XPT_SWING_4H_brk10_b50|DXY_bear|HTF1D|tgt4.0R,85,11.44,0.1346,0.318,1.27,6,-8.31,-24.15,0.23,1.0
XPT_SWING_4H_brk_dec_b60_r12|DXY_bear|HTF1D|tgt4.0R,69,11.35,0.1645,0.319,1.36,8,-8.4,-21.07,0.19,0.81
XPT_SWING_4H_brk10_b50|DXY_strong_bear|HTF1D+12H|tgt4.0R,73,11.28,0.1545,0.301,1.34,8,-8.47,-22.39,0.2,0.86
XPT_SWING_4H_brk10_b50|DXY_below_ema200|HTF1D+12H|tgt2.5R,90,11.16,0.124,0.344,1.27,7,-1.09,-13.34,0.25,1.06
XPT_SWING_4H_pullback|DXY_below_ema200|HTF1D|tgt3.0R,46,11.14,0.2422,0.391,1.55,4,-3.61,-14.48,0.12,0.53
XPT_SWING_4H_brk_dec_b70_r15|DXY_bear|HTF1D|tgt4.0R,48,10.82,0.2254,0.354,1.58,6,-6.87,-14.37,0.13,0.56
XPT_SWING_4H_brk10_b70|DXY_below_ema200|HTF1D|tgt2.5R,63,10.61,0.1684,0.365,1.4,9,-1.64,-13.89,0.17,0.74
XPT_SWING_4H_brk10_b60|DXY_below_ema200|HTF1D+12H|tgt4.0R,75,10.59,0.1412,0.307,1.32,9,-9.16,-22.67,0.21,0.88
XPT_SWING_4H_brk_dec_b70_r15|DXY_bear|HTF1D+12H|tgt3.0R,48,10.55,0.2198,0.375,1.6,6,-3.58,-12.17,0.13,0.56
XPT_SWING_4H_pullback|DXY_bear|HTF1D+12H|tgt3.0R,39,10.53,0.27,0.41,1.61,3,-4.22,-13.39,0.11,0.45
XPT_SWING_4H_brk_dec_b70_r15|DXY_bear|HTF1D+12H|tgt2.5R,49,10.33,0.2108,0.388,1.55,5,-1.92,-12.0,0.13,0.58
XPT_SWING_4H_brk_dec_b60_r12|DXY_below_ema200|HTF1D|tgt3.0R,72,10.24,0.1423,0.333,1.32,8,-4.51,-18.64,0.2,0.85
XPT_SWING_4H_brk_dec_b70_r15|DXY_below_ema200|HTF1D+12H|tgt2.0R,48,10.21,0.2126,0.417,1.57,5,0.46,-9.29,0.13,0.56
XPT_SWING_4H_brk_dec_b70_r15|DXY_bear|HTF1D+12H|tgt2.0R,49,10.0,0.2042,0.408,1.54,4,0.25,-9.5,0.13,0.58
XPT_SWING_4H_brk_dec_b60_r12|DXY_strong_bear|HTF1D+12H|tgt3.0R,58,9.85,0.1698,0.328,1.39,6,-4.9,-17.94,0.16,0.68
XPT_SWING_4H_brk10_b70|DXY_bear|HTF1D+12H|tgt3.0R,64,9.75,0.1523,0.328,1.36,9,-5.0,-17.5,0.18,0.75
XPT_SWING_4H_brk_dec_b60_r12|DXY_below_ema200|HTF1D|tgt2.5R,74,9.69,0.131,0.338,1.3,8,-2.56,-14.81,0.2,0.87
XPT_SWING_4H_brk_dec_b70_r15|DXY_bear|HTF1D|tgt3.0R,49,9.5,0.1938,0.367,1.51,6,-4.63,-13.22,0.13,0.58
XPT_SWING_4H_pullback|DXY_bear|HTF1D|tgt3.0R,40,9.48,0.237,0.4,1.51,3,-5.27,-14.44,0.11,0.46
XPT_SWING_4H_brk10_b50|DXY_below_ema200|HTF1D|tgt2.0R,93,9.47,0.1019,0.355,1.22,7,-0.28,-10.03,0.25,1.09
XPT_SWING_4H_brk10_b50|DXY_bear|HTF1D+12H|tgt3.0R,87,9.41,0.1082,0.322,1.22,6,-5.34,-20.09,0.24,1.02
XPT_SWING_4H_pullback|DXY_below_ema200|HTF1D+12H|tgt2.5R,45,9.37,0.2083,0.4,1.49,4,-2.88,-13.43,0.12,0.52
XPT_SWING_4H_brk_dec_b60_r12|DXY_bear|HTF1D+12H|tgt3.0R,71,9.31,0.1311,0.324,1.29,8,-5.44,-18.77,0.19,0.83
XPT_SWING_4H_brk_dec_b70_r15|DXY_bear|HTF1D|tgt2.5R,50,9.28,0.1855,0.38,1.47,5,-2.97,-13.05,0.14,0.59
XPT_SWING_4H_brk10_b50|DXY_strong_bear|HTF1D|tgt4.0R,75,9.18,0.1224,0.293,1.26,8,-10.57,-24.49,0.21,0.88
XPT_SWING_4H_brk_dec_b70_r15|DXY_below_ema200|HTF1D|tgt2.0R,49,9.16,0.1869,0.408,1.48,5,-0.59,-10.34,0.13,0.58
