strategy,n,total_r_net,avg_r_net,win_rate,pf_net,max_losing_streak,r_no_top5_net,r_no_top10_net,trades_per_week,trades_per_month
XPT_SWING_4H_brk10_b50|DXY_bear|HTF1D+12H|tgt2.5R,92,1.21,0.0131,0.304,1.03,7,-11.04,-23.29,0.25,1.08
XPT_SWING_4H_brk10_b60|DXY_strong_bear|HTF1D+12H|tgt2.5R,71,1.12,0.0158,0.282,1.03,9,-11.13,-23.38,0.19,0.83
XPT_SWING_4H_brk10_b50|DXY_strong_bear|HTF1D+12H|tgt2.5R,79,1.12,0.0142,0.291,1.03,8,-11.13,-23.38,0.22,0.93
XPT_SWING_4H_brk10_b70|no_macro|HTF1D|tgt4.0R,89,1.01,0.0114,0.281,1.02,12,-18.74,-31.06,0.24,1.03
XPT_SWING_4H_pullback|no_macro|HTF1D|tgt3.0R,62,0.97,0.0157,0.306,1.03,7,-13.78,-24.65,0.17,0.72
XPT_INTRA_1H_pullback|DXY_below_ema200|HTF1D+HTF4H|tgt2.5R,48,0.76,0.0159,0.312,1.04,8,-11.49,-16.78,0.43,1.83
XPT_INTRA_1H_pullback|DXY_below_ema200|HTF1D|tgt2.5R,48,0.76,0.0159,0.312,1.04,8,-11.49,-16.78,0.43,1.83
XPT_SWING_4H_brk10_b60|DXY_bear|HTF1D|tgt3.0R,83,0.71,0.0086,0.277,1.02,9,-14.04,-27.37,0.23,0.97
XPT_SWING_4H_pullback|DXY_strong_bear|HTF1D|tgt2.5R,31,0.7,0.0225,0.355,1.05,4,-10.74,-15.09,0.08,0.36
XPT_SWING_4H_pullback|DXY_strong_bear|HTF1D+12H|tgt2.5R,31,0.7,0.0225,0.355,1.05,4,-10.74,-15.09,0.08,0.36
XPT_INTRA_1H_pullback|DXY_strong_bear|HTF1D+HTF4H|tgt2.0R,27,0.54,0.02,0.333,1.07,6,-6.83,-7.84,0.28,1.19
XPT_INTRA_1H_pullback|DXY_strong_bear|HTF1D|tgt2.0R,27,0.54,0.02,0.333,1.07,6,-6.83,-7.84,0.28,1.19
XPT_SWING_4H_brk_dec_b60_r12|DXY_bear|HTF1D|tgt2.0R,77,0.53,0.0069,0.312,1.01,9,-9.22,-18.97,0.21,0.9
XPT_SWING_4H_brk10_b50|no_macro|HTF1D+12H|tgt3.0R,119,0.37,0.0031,0.303,1.01,8,-14.38,-29.13,0.32,1.38
XPT_SWING_4H_brk10_b50|DXY_bear|HTF1D+12H|tgt2.0R,94,0.23,0.0024,0.319,1.0,7,-9.52,-19.27,0.26,1.1
XPT_SWING_4H_brk10_b60|DXY_below_ema200|HTF1D|tgt2.0R,86,0.23,0.0027,0.302,1.01,10,-9.52,-19.27,0.24,1.01
XPT_SWING_4H_brk10_b50|DXY_strong_bear|HTF1D+12H|tgt2.0R,80,0.19,0.0024,0.3,1.01,9,-9.56,-19.31,0.22,0.94
XPT_INTRA_1H_brk_dec_b60_r12|no_macro|HTF1D+HTF4H|tgt2.0R,92,0.19,0.002,0.446,1.01,4,-9.56,-19.31,0.77,3.31
XPT_SWING_4H_brk_dec_b60_r12|no_macro|HTF1D|tgt4.0R,97,0.09,0.0009,0.289,1.0,10,-19.66,-34.34,0.26,1.12
XPT_INTRA_1H_brk_dec_b70_r15|DXY_bear|HTF1D+HTF4H|tgt4.0R,45,0.06,0.0014,0.444,1.0,8,-11.05,-15.84,0.4,1.7
XPT_INTRA_1H_brk_dec_b60_r12|no_macro|HTF1D|tgt2.0R,93,-0.07,-0.0007,0.441,1.0,4,-9.82,-19.57,0.78,3.35
XPT_INTRA_1H_brk_dec_b70_r15|DXY_bear|HTF1D|tgt4.0R,46,-0.19,-0.0042,0.435,0.99,8,-11.3,-16.1,0.41,1.74
XPT_INTRA_1H_pullback|DXY_below_ema200|HTF1D+HTF4H|tgt2.0R,48,-0.24,-0.0049,0.333,0.99,5,-9.99,-16.07,0.43,1.83
XPT_INTRA_1H_pullback|DXY_below_ema200|HTF1D|tgt2.0R,48,-0.24,-0.0049,0.333,0.99,5,-9.99,-16.07,0.43,1.83
XPT_INTRA_1H_brk_dec_b70_r15|DXY_bear|HTF1D+HTF4H|tgt2.5R,45,-0.28,-0.0063,0.444,0.98,8,-11.05,-15.84,0.4,1.7
XPT_INTRA_1H_brk_dec_b70_r15|DXY_bear|HTF1D+HTF4H|tgt3.0R,45,-0.3,-0.0066,0.444,0.98,8,-11.05,-15.84,0.4,1.7
XPT_INTRA_1H_pullback|no_macro|HTF1D+HTF4H|tgt3.0R,77,-0.38,-0.0049,0.312,0.99,9,-14.84,-24.88,0.68,2.93
XPT_INTRA_1H_pullback|no_macro|HTF1D|tgt3.0R,77,-0.38,-0.0049,0.312,0.99,9,-14.84,-24.88,0.68,2.93
XPT_INTRA_1H_brk_dec_b70_r15|DXY_bear|HTF1D|tgt2.5R,46,-0.54,-0.0118,0.435,0.97,8,-11.3,-16.1,0.41,1.74
XPT_INTRA_1H_brk_dec_b70_r15|DXY_bear|HTF1D|tgt3.0R,46,-0.55,-0.012,0.435,0.97,8,-11.3,-16.1,0.41,1.74
XPT_SWING_4H_pullback|no_macro|HTF1D+12H|tgt2.5R,61,-0.8,-0.0131,0.311,0.97,7,-13.05,-23.6,0.16,0.71
XPT_INTRA_1H_brk_dec_b70_r15|DXY_strong_bear|HTF1D+HTF4H|tgt2.0R,33,-0.8,-0.0243,0.394,0.95,6,-10.18,-14.59,0.3,1.28
XPT_SWING_4H_brk10_b50|DXY_bear|HTF1D|tgt2.5R,94,-0.89,-0.0095,0.298,0.98,7,-13.14,-25.39,0.26,1.1
XPT_SWING_4H_brk10_b60|DXY_strong_bear|HTF1D|tgt2.5R,73,-0.98,-0.0134,0.274,0.97,9,-13.23,-25.48,0.2,0.86
XPT_SWING_4H_brk10_b50|DXY_strong_bear|HTF1D|tgt2.5R,81,-0.98,-0.012,0.284,0.98,8,-13.23,-25.48,0.22,0.95
XPT_SWING_4H_pullback|no_macro|HTF1D+12H|tgt2.0R,61,-1.05,-0.0173,0.328,0.96,6,-10.8,-20.55,0.16,0.71
XPT_INTRA_1H_brk_dec_b60_r12|DXY_below_ema200|HTF1D+HTF4H|tgt4.0R,64,-1.06,-0.0165,0.422,0.96,7,-14.68,-20.9,0.56,2.41
XPT_INTRA_1H_brk_dec_b70_r15|DXY_strong_bear|HTF1D|tgt2.0R,34,-1.06,-0.0312,0.382,0.93,6,-10.44,-14.85,0.31,1.32
XPT_INTRA_1H_brk_dec_b70_r15|DXY_below_ema200|HTF1D+HTF4H|tgt2.0R,51,-1.19,-0.0233,0.451,0.94,8,-10.94,-17.27,0.45,1.92
XPT_INTRA_1H_brk_dec_b60_r12|DXY_strong_bear|HTF1D+HTF4H|tgt4.0R,41,-1.24,-0.0303,0.341,0.94,6,-14.85,-20.89,0.37,1.6
XPT_INTRA_1H_brk_dec_b60_r12|DXY_below_ema200|HTF1D|tgt4.0R,65,-1.32,-0.0202,0.415,0.95,7,-14.94,-21.15,0.57,2.45
XPT_INTRA_1H_pullback|no_macro|HTF1D+HTF4H|tgt2.0R,77,-1.38,-0.0179,0.338,0.95,9,-11.13,-20.88,0.68,2.93
XPT_INTRA_1H_pullback|no_macro|HTF1D|tgt2.0R,77,-1.38,-0.0179,0.338,0.95,9,-11.13,-20.88,0.68,2.93
XPT_SWING_4H_brk10_b70|no_macro|HTF1D+12H|tgt3.0R,90,-1.4,-0.0156,0.289,0.97,12,-16.15,-29.57,0.24,1.04
XPT_INTRA_1H_brk_dec_b70_r15|DXY_below_ema200|HTF1D|tgt2.0R,52,-1.45,-0.0278,0.442,0.93,8,-11.2,-17.52,0.46,1.96
XPT_INTRA_1H_brk10_b60|DXY_strong_bear|HTF1D+HTF4H|tgt3.0R,58,-1.45,-0.025,0.31,0.95,9,-16.2,-25.46,0.51,2.2
XPT_INTRA_1H_brk_dec_b70_r15|DXY_bear|HTF1D+HTF4H|tgt2.0R,46,-1.49,-0.0324,0.435,0.92,8,-11.24,-16.89,0.41,1.74
XPT_INTRA_1H_brk_dec_b60_r12|DXY_strong_bear|HTF1D|tgt4.0R,42,-1.5,-0.0357,0.333,0.93,6,-15.11,-21.15,0.38,1.63
XPT_INTRA_1H_pullback|DXY_strong_bear|HTF1D|tgt3.0R,27,-1.52,-0.0564,0.296,0.81,6,-7.54,-7.84,0.28,1.19
XPT_INTRA_1H_pullback|DXY_strong_bear|HTF1D+HTF4H|tgt3.0R,27,-1.52,-0.0564,0.296,0.81,6,-7.54,-7.84,0.28,1.19
XPT_INTRA_1H_brk_dec_b70_r15|DXY_below_ema200|HTF1D+HTF4H|tgt4.0R,50,-1.63,-0.0327,0.44,0.92,8,-12.74,-17.03,0.44,1.89
XPT_INTRA_1H_brk10_b60|DXY_strong_bear|HTF1D|tgt3.0R,59,-1.71,-0.0289,0.305,0.94,9,-16.46,-25.72,0.52,2.24
XPT_INTRA_1H_brk_dec_b70_r15|DXY_bear|HTF1D|tgt2.0R,47,-1.75,-0.0372,0.426,0.91,8,-11.5,-17.15,0.41,1.77
XPT_SWING_4H_brk10_b60|DXY_bear|HTF1D+12H|tgt2.5R,84,-1.79,-0.0213,0.274,0.96,9,-14.04,-26.29,0.23,0.99
XPT_INTRA_1H_brk_dec_b60_r12|DXY_strong_bear|HTF1D+HTF4H|tgt2.5R,42,-1.82,-0.0433,0.357,0.92,6,-13.44,-20.04,0.38,1.63
XPT_SWING_4H_pullback|no_macro|HTF1D|tgt2.5R,62,-1.85,-0.0298,0.306,0.94,7,-14.1,-24.65,0.17,0.72
XPT_SWING_4H_brk10_b50|DXY_bear|HTF1D|tgt2.0R,96,-1.87,-0.0195,0.312,0.96,7,-11.62,-21.37,0.26,1.13
XPT_INTRA_1H_brk10_b60|DXY_below_ema200|HTF1D+HTF4H|tgt2.0R,90,-1.88,-0.0209,0.378,0.95,12,-11.63,-21.38,0.79,3.39
XPT_INTRA_1H_brk_dec_b70_r15|DXY_below_ema200|HTF1D|tgt4.0R,51,-1.89,-0.0371,0.431,0.91,8,-13.0,-17.29,0.45,1.92
XPT_SWING_4H_brk10_b50|DXY_strong_bear|HTF1D|tgt2.0R,82,-1.91,-0.0233,0.293,0.95,9,-11.66,-21.41,0.22,0.96
XPT_INTRA_1H_brk_dec_b60_r12|DXY_below_ema200|HTF1D+HTF4H|tgt2.5R,64,-1.91,-0.0298,0.422,0.93,7,-14.16,-20.9,0.56,2.41
XPT_INTRA_1H_brk_dec_b70_r15|DXY_below_ema200|HTF1D+HTF4H|tgt2.5R,50,-1.98,-0.0396,0.44,0.9,8,-12.74,-17.03,0.44,1.89
XPT_INTRA_1H_brk_dec_b70_r15|DXY_below_ema200|HTF1D+HTF4H|tgt3.0R,50,-1.99,-0.0398,0.44,0.9,8,-12.74,-17.03,0.44,1.89
XPT_INTRA_1H_brk_dec_b60_r12|DXY_strong_bear|HTF1D|tgt2.5R,43,-2.08,-0.0483,0.349,0.91,6,-13.7,-20.29,0.39,1.67
XPT_SWING_4H_pullback|no_macro|HTF1D|tgt2.0R,62,-2.1,-0.0339,0.323,0.93,6,-11.85,-21.6,0.17,0.72
XPT_INTRA_1H_brk10_b60|DXY_strong_bear|HTF1D+HTF4H|tgt2.5R,58,-2.12,-0.0365,0.328,0.93,9,-14.37,-24.14,0.51,2.2
XPT_INTRA_1H_brk10_b60|DXY_below_ema200|HTF1D|tgt2.0R,91,-2.14,-0.0235,0.374,0.94,12,-11.89,-21.64,0.8,3.43
XPT_INTRA_1H_brk_dec_b60_r12|DXY_below_ema200|HTF1D|tgt2.5R,65,-2.17,-0.0333,0.415,0.92,7,-14.42,-21.15,0.57,2.45
XPT_INTRA_1H_brk_dec_b70_r15|DXY_below_ema200|HTF1D|tgt2.5R,51,-2.24,-0.0439,0.431,0.89,8,-13.0,-17.29,0.45,1.92
XPT_INTRA_1H_brk_dec_b70_r15|DXY_below_ema200|HTF1D|tgt3.0R,51,-2.25,-0.0441,0.431,0.89,8,-13.0,-17.29,0.45,1.92
XPT_SWING_4H_brk_dec_b60_r12|no_macro|HTF1D+12H|tgt3.0R,99,-2.3,-0.0232,0.293,0.95,10,-17.05,-31.8,0.27,1.15
XPT_INTRA_1H_pullback|DXY_strong_bear|HTF1D|tgt4.0R,27,-2.3,-0.0851,0.296,0.71,6,-7.54,-7.84,0.28,1.19
XPT_INTRA_1H_pullback|DXY_strong_bear|HTF1D+HTF4H|tgt4.0R,27,-2.3,-0.0851,0.296,0.71,6,-7.54,-7.84,0.28,1.19
XPT_INTRA_1H_brk10_b60|DXY_strong_bear|HTF1D|tgt2.5R,59,-2.38,-0.0403,0.322,0.92,9,-14.63,-24.4,0.52,2.24
XPT_INTRA_1H_brk_dec_b60_r12|DXY_below_ema200|HTF1D+HTF4H|tgt3.0R,64,-2.42,-0.0378,0.422,0.91,7,-14.68,-20.9,0.56,2.41
XPT_INTRA_1H_brk_dec_b60_r12|DXY_bear|HTF1D+HTF4H|tgt4.0R,56,-2.42,-0.0433,0.393,0.9,7,-16.04,-22.08,0.49,2.11
XPT_SWING_4H_brk10_b70|no_macro|HTF1D|tgt3.0R,91,-2.45,-0.0269,0.286,0.95,12,-17.2,-30.62,0.25,1.05
XPT_INTRA_1H_brk_dec_b60_r12|no_macro|HTF1D+HTF4H|tgt4.0R,89,-2.52,-0.0283,0.427,0.93,4,-17.42,-25.13,0.75,3.2
XPT_INTRA_1H_brk_dec_b60_r12|DXY_strong_bear|HTF1D+HTF4H|tgt3.0R,41,-2.6,-0.0635,0.341,0.88,6,-14.85,-20.89,0.37,1.6
XPT_INTRA_1H_brk_dec_b70_r15|no_macro|HTF1D+HTF4H|tgt4.0R,70,-2.61,-0.0373,0.443,0.91,5,-15.21,-21.73,0.62,2.64
XPT_INTRA_1H_brk_dec_b60_r12|DXY_below_ema200|HTF1D|tgt3.0R,65,-2.67,-0.0412,0.415,0.9,7,-14.94,-21.15,0.57,2.45
XPT_INTRA_1H_brk_dec_b60_r12|DXY_bear|HTF1D|tgt4.0R,57,-2.68,-0.047,0.386,0.9,7,-16.3,-22.34,0.5,2.15
XPT_INTRA_1H_brk_dec_b60_r12|no_macro|HTF1D|tgt4.0R,90,-2.77,-0.0308,0.422,0.92,4,-17.68,-25.39,0.76,3.24
XPT_INTRA_1H_brk_dec_b70_r15|no_macro|HTF1D+HTF4H|tgt2.0R,71,-2.78,-0.0392,0.451,0.91,5,-12.53,-21.53,0.63,2.68
XPT_SWING_4H_brk10_b50|no_macro|HTF1D|tgt3.0R,122,-2.78,-0.0228,0.295,0.96,8,-17.53,-32.28,0.33,1.41
XPT_INTRA_1H_brk_dec_b60_r12|DXY_strong_bear|HTF1D|tgt3.0R,42,-2.86,-0.0681,0.333,0.87,6,-15.11,-21.15,0.38,1.63
XPT_INTRA_1H_brk_dec_b70_r15|no_macro|HTF1D|tgt4.0R,71,-2.87,-0.0404,0.437,0.9,5,-15.47,-21.98,0.63,2.68
XPT_INTRA_1H_brk_dec_b70_r15|no_macro|HTF1D+HTF4H|tgt3.0R,70,-2.89,-0.0413,0.443,0.9,5,-15.21,-21.73,0.62,2.64
XPT_INTRA_1H_brk_dec_b70_r15|no_macro|HTF1D|tgt2.0R,72,-3.04,-0.0422,0.444,0.9,5,-12.79,-21.78,0.63,2.72
XPT_INTRA_1H_brk_dec_b70_r15|no_macro|HTF1D|tgt3.0R,71,-3.15,-0.0444,0.437,0.89,5,-15.47,-21.98,0.63,2.68
XPT_SWING_4H_brk_dec_b60_r12|no_macro|HTF1D+12H|tgt2.5R,101,-3.35,-0.0332,0.297,0.93,10,-15.6,-27.85,0.27,1.17
XPT_INTRA_1H_brk_dec_b70_r15|no_macro|HTF1D+HTF4H|tgt2.5R,70,-3.38,-0.0483,0.443,0.88,5,-15.0,-21.73,0.62,2.64
XPT_INTRA_1H_brk10_b60|DXY_below_ema200|HTF1D+HTF4H|tgt2.5R,87,-3.56,-0.0409,0.356,0.9,12,-15.81,-26.57,0.76,3.27
XPT_INTRA_1H_brk_dec_b60_r12|DXY_bear|HTF1D+HTF4H|tgt2.0R,59,-3.6,-0.061,0.39,0.86,7,-13.35,-22.06,0.52,2.23
XPT_SWING_4H_brk10_b70|no_macro|HTF1D+12H|tgt2.5R,91,-3.62,-0.0398,0.297,0.92,12,-15.87,-28.12,0.25,1.05
XPT_INTRA_1H_brk_dec_b60_r12|DXY_strong_bear|HTF1D+HTF4H|tgt2.0R,44,-3.64,-0.0826,0.341,0.84,6,-13.39,-21.14,0.4,1.71
XPT_INTRA_1H_brk_dec_b70_r15|no_macro|HTF1D|tgt2.5R,71,-3.64,-0.0512,0.437,0.87,5,-15.26,-21.98,0.63,2.68
XPT_INTRA_1H_brk_dec_b60_r12|DXY_bear|HTF1D+HTF4H|tgt3.0R,56,-3.78,-0.0675,0.393,0.85,7,-16.04,-22.08,0.49,2.11
XPT_INTRA_1H_brk_dec_b60_r12|no_macro|HTF1D+HTF4H|tgt2.5R,89,-3.79,-0.0426,0.427,0.89,4,-16.04,-25.1,0.75,3.2
XPT_INTRA_1H_brk_dec_b60_r12|no_macro|HTF1D+HTF4H|tgt3.0R,89,-3.8,-0.0427,0.427,0.89,4,-17.42,-25.13,0.75,3.2
XPT_INTRA_1H_brk10_b60|DXY_below_ema200|HTF1D|tgt2.5R,88,-3.81,-0.0433,0.352,0.89,12,-16.06,-26.83,0.77,3.31
XPT_INTRA_1H_brk_dec_b60_r12|DXY_bear|HTF1D|tgt2.0R,60,-3.86,-0.0643,0.383,0.86,7,-13.61,-22.32,0.53,2.26
XPT_INTRA_1H_brk_dec_b60_r12|DXY_strong_bear|HTF1D|tgt2.0R,45,-3.89,-0.0865,0.333,0.83,6,-13.64,-21.39,0.41,1.75
XPT_SWING_4H_brk10_b60|DXY_bear|HTF1D|tgt2.5R,86,-3.89,-0.0453,0.267,0.91,9,-16.14,-28.39,0.24,1.01
XPT_INTRA_1H_brk10_b60|DXY_strong_bear|HTF1D+HTF4H|tgt4.0R,57,-3.92,-0.0688,0.298,0.86,9,-18.71,-25.73,0.51,2.16
XPT_SWING_4H_brk10_b60|DXY_strong_bear|HTF1D+12H|tgt2.0R,73,-4.01,-0.0549,0.274,0.88,9,-13.76,-23.51,0.2,0.86
XPT_INTRA_1H_brk_dec_b60_r12|DXY_bear|HTF1D|tgt3.0R,57,-4.04,-0.0709,0.386,0.84,7,-16.3,-22.34,0.5,2.15
XPT_INTRA_1H_brk_dec_b60_r12|no_macro|HTF1D|tgt2.5R,90,-4.05,-0.045,0.422,0.89,4,-16.3,-25.36,0.76,3.24
XPT_INTRA_1H_brk_dec_b60_r12|no_macro|HTF1D|tgt3.0R,90,-4.06,-0.0451,0.422,0.89,4,-17.68,-25.39,0.76,3.24
XPT_INTRA_1H_brk10_b60|DXY_strong_bear|HTF1D|tgt4.0R,58,-4.18,-0.0721,0.293,0.86,9,-18.97,-25.99,0.51,2.2
XPT_INTRA_1H_brk_dec_b60_r12|DXY_bear|HTF1D+HTF4H|tgt2.5R,56,-4.27,-0.0763,0.393,0.83,7,-15.89,-22.08,0.49,2.11
XPT_SWING_4H_brk10_b50|no_macro|HTF1D+12H|tgt2.5R,123,-4.29,-0.0349,0.301,0.93,8,-16.54,-28.79,0.33,1.43
XPT_SWING_4H_brk10_b60|no_macro|HTF1D+12H|tgt4.0R,106,-4.36,-0.0411,0.264,0.92,11,-24.11,-38.79,0.29,1.23
XPT_SWING_4H_brk_dec_b60_r12|no_macro|HTF1D|tgt3.0R,101,-4.4,-0.0435,0.287,0.92,10,-19.15,-33.9,0.27,1.17
XPT_INTRA_1H_brk_dec_b60_r12|DXY_bear|HTF1D|tgt2.5R,57,-4.53,-0.0794,0.386,0.82,7,-16.15,-22.34,0.5,2.15
XPT_SWING_4H_brk10_b70|no_macro|HTF1D|tgt2.5R,92,-4.67,-0.0508,0.293,0.9,12,-16.92,-29.17,0.25,1.07
XPT_SWING_4H_brk10_b70|no_macro|HTF1D+12H|tgt2.0R,92,-4.83,-0.0525,0.304,0.89,12,-14.58,-24.33,0.25,1.07
XPT_SWING_4H_brk10_b60|DXY_bear|HTF1D+12H|tgt2.0R,86,-4.92,-0.0572,0.279,0.88,10,-14.67,-24.42,0.24,1.01
XPT_INTRA_1H_brk10_b60|DXY_bear|HTF1D+HTF4H|tgt2.5R,79,-5.42,-0.0686,0.342,0.85,12,-17.67,-28.43,0.7,2.98
XPT_SWING_4H_brk_dec_b60_r12|no_macro|HTF1D|tgt2.5R,103,-5.45,-0.0529,0.291,0.9,10,-17.7,-29.95,0.28,1.19
XPT_SWING_4H_brk10_b50|no_macro|HTF1D+12H|tgt2.0R,126,-5.48,-0.0435,0.31,0.92,8,-15.23,-24.98,0.34,1.46
XPT_INTRA_1H_brk10_b60|DXY_below_ema200|HTF1D+HTF4H|tgt3.0R,87,-5.56,-0.064,0.345,0.85,12,-20.31,-28.09,0.76,3.27
XPT_INTRA_1H_brk10_b60|DXY_bear|HTF1D|tgt2.5R,80,-5.68,-0.0709,0.338,0.85,12,-17.93,-28.69,0.7,3.02
XPT_INTRA_1H_brk10_b60|DXY_below_ema200|HTF1D|tgt3.0R,88,-5.82,-0.0662,0.341,0.84,12,-20.57,-28.35,0.77,3.31
XPT_SWING_4H_brk10_b70|no_macro|HTF1D|tgt2.0R,93,-5.88,-0.0632,0.301,0.87,12,-15.63,-25.38,0.25,1.08
XPT_INTRA_1H_brk10_b60|DXY_bear|HTF1D+HTF4H|tgt3.0R,79,-5.93,-0.0751,0.329,0.84,12,-20.68,-29.95,0.7,2.98
XPT_SWING_4H_brk10_b60|DXY_strong_bear|HTF1D|tgt2.0R,75,-6.11,-0.0814,0.267,0.83,9,-15.86,-25.61,0.21,0.88
XPT_INTRA_1H_brk10_b60|DXY_bear|HTF1D|tgt3.0R,80,-6.19,-0.0773,0.325,0.83,12,-20.94,-30.21,0.7,3.02
XPT_INTRA_1H_brk10_b60|DXY_strong_bear|HTF1D+HTF4H|tgt2.0R,61,-6.48,-0.1063,0.311,0.8,9,-16.23,-25.98,0.54,2.32
XPT_INTRA_1H_brk10_b60|DXY_strong_bear|HTF1D|tgt2.0R,62,-6.74,-0.1087,0.306,0.79,9,-16.49,-26.24,0.55,2.35
XPT_SWING_4H_brk_dec_b60_r12|no_macro|HTF1D+12H|tgt2.0R,103,-6.81,-0.0661,0.301,0.87,11,-16.56,-26.31,0.28,1.19
XPT_SWING_4H_brk10_b60|DXY_bear|HTF1D|tgt2.0R,88,-7.02,-0.0798,0.273,0.84,10,-16.77,-26.52,0.24,1.03
XPT_INTRA_1H_brk10_b60|no_macro|HTF1D+HTF4H|tgt2.0R,122,-7.31,-0.0599,0.377,0.86,7,-17.06,-26.81,1.02,4.39
XPT_INTRA_1H_brk10_b60|DXY_below_ema200|HTF1D+HTF4H|tgt4.0R,85,-7.31,-0.086,0.341,0.79,12,-21.41,-28.04,0.75,3.2
XPT_SWING_4H_brk10_b50|no_macro|HTF1D|tgt2.5R,126,-7.44,-0.059,0.294,0.89,8,-19.69,-31.94,0.34,1.46
XPT_SWING_4H_brk10_b60|no_macro|HTF1D|tgt4.0R,109,-7.51,-0.0689,0.257,0.87,11,-27.26,-41.94,0.29,1.26
XPT_INTRA_1H_brk10_b60|DXY_below_ema200|HTF1D|tgt4.0R,86,-7.57,-0.088,0.337,0.78,12,-21.67,-28.3,0.76,3.24
XPT_INTRA_1H_brk10_b60|no_macro|HTF1D|tgt2.0R,123,-7.57,-0.0615,0.374,0.86,7,-17.32,-27.07,1.03,4.42
XPT_INTRA_1H_brk10_b60|no_macro|HTF1D+HTF4H|tgt2.5R,119,-8.29,-0.0696,0.361,0.84,7,-20.54,-32.79,1.0,4.28
XPT_INTRA_1H_brk10_b60|DXY_bear|HTF1D+HTF4H|tgt4.0R,77,-8.35,-0.1085,0.325,0.77,12,-23.14,-30.17,0.68,2.91
XPT_INTRA_1H_brk10_b60|no_macro|HTF1D|tgt2.5R,120,-8.54,-0.0712,0.358,0.83,7,-20.79,-33.04,1.01,4.32
XPT_INTRA_1H_brk10_b60|DXY_bear|HTF1D|tgt4.0R,78,-8.61,-0.1104,0.321,0.76,12,-23.4,-30.43,0.69,2.94
XPT_SWING_4H_brk10_b50|no_macro|HTF1D|tgt2.0R,129,-8.63,-0.0669,0.302,0.87,8,-18.38,-28.13,0.35,1.49
XPT_SWING_4H_brk10_b60|no_macro|HTF1D+12H|tgt3.0R,110,-8.85,-0.0804,0.264,0.85,11,-23.6,-38.35,0.3,1.27
XPT_SWING_4H_brk_dec_b60_r12|no_macro|HTF1D|tgt2.0R,105,-8.91,-0.0848,0.295,0.84,11,-18.66,-28.41,0.28,1.22
XPT_INTRA_1H_brk10_b60|no_macro|HTF1D+HTF4H|tgt3.0R,119,-9.3,-0.0781,0.353,0.82,7,-24.05,-35.0,1.0,4.28
XPT_INTRA_1H_brk10_b60|no_macro|HTF1D|tgt3.0R,120,-9.55,-0.0796,0.35,0.81,7,-24.3,-35.26,1.01,4.32
XPT_INTRA_1H_brk10_b60|DXY_bear|HTF1D+HTF4H|tgt2.0R,82,-9.75,-0.1189,0.329,0.75,12,-19.5,-29.25,0.72,3.09
XPT_INTRA_1H_brk10_b60|DXY_bear|HTF1D|tgt2.0R,83,-10.0,-0.1205,0.325,0.75,12,-19.75,-29.5,0.73,3.13
XPT_INTRA_1H_brk10_b60|no_macro|HTF1D+HTF4H|tgt4.0R,117,-10.12,-0.0865,0.35,0.8,7,-27.63,-35.71,0.98,4.21
XPT_INTRA_1H_brk10_b60|no_macro|HTF1D|tgt4.0R,118,-10.38,-0.088,0.347,0.79,7,-27.89,-35.97,0.99,4.24
XPT_SWING_4H_brk10_b60|no_macro|HTF1D+12H|tgt2.5R,113,-10.95,-0.0969,0.265,0.81,11,-23.2,-35.45,0.31,1.31
XPT_SWING_4H_brk10_b60|no_macro|HTF1D|tgt3.0R,113,-12.0,-0.1062,0.257,0.8,11,-26.75,-41.5,0.31,1.31
XPT_SWING_4H_brk10_b60|no_macro|HTF1D+12H|tgt2.0R,115,-12.41,-0.1079,0.278,0.79,12,-22.16,-31.91,0.31,1.33
XPT_SWING_4H_brk10_b60|no_macro|HTF1D|tgt2.5R,116,-14.1,-0.1216,0.259,0.77,11,-26.35,-38.6,0.31,1.34
XPT_SWING_4H_brk10_b60|no_macro|HTF1D|tgt2.0R,118,-15.56,-0.1319,0.271,0.75,12,-25.31,-35.06,0.32,1.37
