strategy,n,trades_per_week,trades_per_month,total_r_net,avg_r_net,win_rate,pf_net,max_losing_streak,r_no_top5_net,r_no_top10_net,best_r_net
G7_1H_inside_bar_strict_target2.0R,133,1.16,5.03,-26.21,-0.1971,0.226,0.63,13,-35.96,-45.71,1.95
G2_1H_pb_ALL_filters_target2.5R,179,1.56,6.79,-29.29,-0.1636,0.229,0.69,17,-41.54,-53.79,2.45
G2_1H_pb_HTF1D+4H_target3.0R,246,2.14,9.33,-36.8,-0.1496,0.207,0.73,17,-51.55,-66.3,2.95
G2_1H_pb_HTF1D_DXY_bear_target3.0R,244,2.13,9.25,-36.99,-0.1516,0.205,0.73,17,-51.74,-66.49,2.95
G2_1H_pb_HTF1D_DXY_bear_target2.0R,244,2.13,9.25,-41.49,-0.17,0.266,0.67,12,-51.24,-60.99,1.95
G2_1H_pb_HTF1D+4H_target2.0R,246,2.14,9.33,-41.89,-0.1703,0.264,0.67,12,-51.64,-61.39,1.95
G2_1H_pb_HTF1D_target3.0R,252,2.2,9.55,-43.1,-0.171,0.202,0.7,17,-57.85,-72.6,2.95
G2_1H_pb_HTF1D_DXY_bear_target2.5R,244,2.13,9.25,-44.34,-0.1817,0.221,0.66,19,-56.59,-68.84,2.45
G2_1H_pb_HTF1D+4H_target2.5R,246,2.14,9.33,-44.48,-0.1808,0.22,0.66,19,-56.73,-68.98,2.45
G2_1H_pb_HTF1D_target2.0R,252,2.2,9.55,-48.19,-0.1912,0.258,0.64,13,-57.94,-67.69,1.95
G2_1H_pb_base_target3.0R,311,2.68,11.67,-48.46,-0.1558,0.206,0.72,27,-63.21,-77.96,2.95
G2_1H_pb_HTF1D_target2.5R,252,2.2,9.55,-50.78,-0.2015,0.214,0.63,19,-63.03,-75.28,2.45
G2_1H_pb_base_target2.0R,311,2.68,11.67,-59.79,-0.1923,0.251,0.63,15,-69.54,-79.29,1.95
G2_1H_pb_base_target2.5R,311,2.68,11.67,-59.89,-0.1926,0.215,0.64,34,-72.14,-84.39,2.45
