filter,n,total_net_r,avg_net_r,pf_net,win_rate,max_losing_streak,r_no_top5_net,r_no_top10_net
baseline_RSI_MA,569,-60.54,-0.1064,0.78,0.22,45,-82.79,-105.04
with_close_above_ema200,472,-55.26,-0.1171,0.77,0.222,33,-77.51,-98.46
with_ema50_above_ema200,397,-52.4,-0.132,0.73,0.209,31,-74.65,-92.92
with_atr_expanding,247,-14.9,-0.0603,0.87,0.287,20,-34.88,-48.27
with_adx20,382,-47.53,-0.1244,0.75,0.225,41,-69.48,-88.52
with_adx25,253,-27.71,-0.1095,0.78,0.229,29,-49.48,-66.34
with_ema50_slope_pos,466,-48.18,-0.1034,0.79,0.215,47,-70.43,-92.05
full_regime_filter,87,-1.8,-0.0207,0.95,0.322,16,-15.24,-24.53
full_regime_body60,72,1.01,0.014,1.03,0.361,15,-10.46,-18.93
